city,_street_address
Oakland,SAN FRANCISCO COUNTY JAIL
Los Angeles,TRANSIENT ST
Los Angeles,1942 TRASNFER
Sacramento,STATE PRISON
Los Angeles,16942 TRANSIENT
Oakland,HOMELESS 1724 67TH AV
Los Angeles,1942 TRANSINT
Los Angeles,1942 TRANSLEINT
Los Angeles,1945 S TRANSEINT AVE
Sacramento,GENERAL DELIIVERY
Los Angeles,1942 TRANSIENT77TH
Los Angeles,NONE 1942
Los Angeles,1942 TRANSOENT
Los Angeles,1942 TANSCIENT
San Diego,GENERAL DELIVERY
Los Angeles,1942 TRASNSIENT
Los Angeles,1942 TRANNSIENT
Los Angeles,1942Q TRANS
Los Angeles,19492 TRANSIENT
Los Angeles,1942 TRNASIENT
Los Angeles,1742 TRANSIENT ST
Sacramento,TRANISIENT
Los Angeles,1942 S TRANSEINT AVE
Oakland,TRAN
San Diego,HOMELESSSOUTHEAST
Los Angeles,1942 TRANASINT
Sacramento,GENERAL DELIV ERY
Oakland,HOMELESS/TRANSIENT
Sacramento,GENERAL DELIEVRY
Los Angeles,1942 TRENSIENT
Los Angeles,1942 S TRANSIANT
Los Angeles,1942 TRANSIENET
Los Angeles,14942 TRANSIENT
Los Angeles,1942 TRANSIENTR
Los Angeles,1452 TRANSIENT
Sacramento,GENAERAL DELIVERY
Los Angeles,194 TRANS
Los Angeles,19042 TRANSIENT
Los Angeles,19412 TRANSIENT
Los Angeles,1942 1942 TRASIENT
Los Angeles,1942 TRANISEINT
Seattle,"999 HOMELESS SEATTLE, WA 98104"
Los Angeles,1940 TRANSIENT
Los Angeles,1942 TRANEISNT ST
Seattle,"1 GENERAL DELIVERY LYNNWOOD, WA 98037"
Sacramento,TRNASIENT
Los Angeles,192 TRANISENT
Oakland,TRANIENT
San Diego,TRANSIENT
Portland,TRANSEINT
Los Angeles,1942 S TRANSINET
Los Angeles,1942 TTRANSIENT ST
Los Angeles,1942 TRANSIWNT ST
Los Angeles,1965 TRANSIENT
Sacramento,GENERAL DELIVE4RY
Los Angeles,1942 TRANSIENT CR
Los Angeles,1932 TRANSIENT
Seattle,"1 HOMELESS SEATTLE, WA 98104"
Los Angeles,1610 TRANSIENT
Los Angeles,1941 TRANSIENT
Los Angeles,1973 TRANSIENT
Los Angeles,1942 TRANSIEBNT
Los Angeles,1942 TRANSIET
Los Angeles,1942 TRNASIENT ST
Sacramento,11 TRANSIENT
Los Angeles,19442 TRANSIENT
Sacramento,GENERNAL DELIVERY
Los Angeles,1942 TRTANSIENT
Sacramento,GENEAL DELIVERY
Los Angeles,1942 TRANIEST
San Diego,TRANSIENGT
Oakland,TRANSIETN
Oakland,TRANSIENRT
Sacramento,GEN DEL
Los Angeles,4219 TRANS
Los Angeles,1942 TRANSEINT ST
Los Angeles,1942 TRTANSIENT FROM
Los Angeles,192 TRANSIENT ST
Los Angeles,1942 TRANSIENMT
Los Angeles,1942 TRASMIENT
San Diego,TRANSENT
Sacramento,GENERAL DLEIVERY
Sacramento,00 GENERAL DELIVERY
Los Angeles,1942 S TRANSEINT
Sacramento,GENERAL DELIVERY
San Diego,TRANSIENT 8749 TOMMY
Los Angeles,1942 TRAANSIENT ST
Los Angeles,2641 TRANSIENT
Los Angeles,1931 TRANS AVE
Sacramento,RCCC
