city,_housing_status,_subcategory,_categorized_address_data,_source,arrests
San Diego,unhoused,services,299 17TH STEREET,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH STREET,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH STRET,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TRH,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH ST SAN DIEGO CA,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,1675 GARNET AVE SAN DIEGO CA,https://web.archive.org/web/20220130074307/http://www.pbpres.org/contact,
San Diego,unhoused,services,1675 GARNET VE,https://web.archive.org/web/20220130074307/http://www.pbpres.org/contact,
San Diego,unhoused,services,299 17TH ST SAN DIEGO,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH STREEET,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH STREE,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17T,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,0 29917TH,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,2083 SUNSETT CLIFF,https://edsd.org/,
San Diego,unhoused,services,2083 SUNSET CLIFFS BLV,https://edsd.org/,
San Diego,unhoused,services,2083 SUNSET CLFFS,https://edsd.org/,
San Diego,unhoused,services,2083 SUNSET,https://edsd.org/,
San Diego,unhoused,emergency shelter,4271 CLAIREMONT MESA BLVD,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
San Diego,unhoused,services,299 17TH ST,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,299 17TH STEET,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,1675 GARNETTE,https://web.archive.org/web/20220130074307/http://www.pbpres.org/contact,
San Diego,unhoused,emergency shelter,1449 9TH AVE,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
San Diego,unhoused,services,299 17 TH,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
San Diego,unhoused,services,1675 GARNETT,https://web.archive.org/web/20220130074307/http://www.pbpres.org/contact,
San Diego,unhoused,services,2083 SUNSET CLIFF,https://edsd.org/,
San Diego,unhoused,emergency shelter,2459 MARKET ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
San Diego,unhoused,services,2083 SUNSET CLIFFS,https://edsd.org/,
San Diego,unhoused,services,1675 GARNET,https://web.archive.org/web/20220130074307/http://www.pbpres.org/contact,
San Diego,unhoused,services,299 17TH,https://web.archive.org/web/20211223193231/https://sandiego.networkofcare.org/mh/services/agency.aspx?pid=FatherJoesVillagesSanDiegoDayCenter_61_2_0,
Oakland,unhoused,emergency shelter,1001 POLK ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,899 GUERRERO ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
Oakland,unhoused,emergency shelter,869 ELLIS ST,https://www.hudexchange.info/resource/3031/pit-and-hic-data-since-2007/,
